=== (A) shift identity, lattices and elementary divisors, even n ===
n= 4 (n mod 4 = 0) d= 1 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
q'= 8 p= 5 B=1 m=   3 v=1 q=    40 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 5 B=3 m=  12 v=1 q=    40 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 5 B=3 m=  11 v=1 q=    40 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 7 B=1 m=   4 v=1 q=    56 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 7 B=1 m=   3 v=1 q=    56 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 7 B=3 m=  12 v=1 q=    56 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 7 B=3 m=  11 v=1 q=    56 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 7 B=5 m=  20 v=1 q=    56 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 7 B=5 m=  19 v=1 q=    56 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 5 B=1 m=   6 v=1 q=    60 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 5 B=1 m=   5 v=1 q=    60 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 5 B=3 m=  18 v=1 q=    60 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 5 B=3 m=  17 v=1 q=    60 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 7 B=1 m=   6 v=1 q=    84 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 7 B=1 m=   5 v=1 q=    84 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 7 B=3 m=  18 v=1 q=    84 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 7 B=3 m=  17 v=1 q=    84 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 7 B=5 m=  30 v=1 q=    84 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=12 p= 7 B=5 m=  29 v=1 q=    84 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 3 B=1 m=   8 v=1 q=    48 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 3 B=1 m=   7 v=1 q=    48 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 3 B=5 m=  40 v=2 q=   144 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 3 B=5 m=  39 v=2 q=   144 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 5 B=1 m=   8 v=1 q=    80 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 5 B=1 m=   7 v=1 q=    80 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 5 B=3 m=  24 v=1 q=    80 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 5 B=3 m=  23 v=1 q=    80 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 7 B=1 m=   8 v=1 q=   112 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 7 B=1 m=   7 v=1 q=   112 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 7 B=3 m=  24 v=1 q=   112 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 7 B=3 m=  23 v=1 q=   112 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 7 B=5 m=  40 v=1 q=   112 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=16 p= 7 B=5 m=  39 v=1 q=   112 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 3 B=1 m=  10 v=1 q=    60 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 3 B=1 m=   9 v=1 q=    60 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 3 B=5 m=  50 v=2 q=   180 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 3 B=5 m=  49 v=2 q=   180 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 7 B=1 m=  10 v=1 q=   140 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 7 B=1 m=   9 v=1 q=   140 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 7 B=3 m=  30 v=1 q=   140 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 7 B=3 m=  29 v=1 q=   140 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 7 B=5 m=  50 v=1 q=   140 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=20 p= 7 B=5 m=  49 v=1 q=   140 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 5 B=1 m=  12 v=1 q=   120 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 5 B=1 m=  11 v=1 q=   120 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 5 B=3 m=  36 v=1 q=   120 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 5 B=3 m=  35 v=1 q=   120 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 7 B=1 m=  12 v=1 q=   168 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 7 B=1 m=  11 v=1 q=   168 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 7 B=3 m=  36 v=1 q=   168 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 7 B=3 m=  35 v=1 q=   168 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 7 B=5 m=  60 v=1 q=   168 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=24 p= 7 B=5 m=  59 v=1 q=   168 | S=B*hat_s True | W=[1, 4] | rank_p M=4 Mhat=4 [S]=4 | d= 4 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=28 p= 3 B=1 m=  14 v=1 q=    84 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=28 p= 3 B=1 m=  13 v=1 q=    84 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=28 p= 3 B=5 m=  70 v=2 q=   252 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=28 p= 3 B=5 m=  69 v=2 q=   252 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=28 p= 5 B=1 m=  14 v=1 q=   140 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=28 p= 5 B=1 m=  13 v=1 q=   140 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=28 p= 5 B=3 m=  42 v=1 q=   140 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=28 p= 5 B=3 m=  41 v=1 q=   140 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 3 B=1 m=  16 v=1 q=    96 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 3 B=1 m=  15 v=1 q=    96 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 3 B=5 m=  80 v=2 q=   288 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 3 B=5 m=  79 v=2 q=   288 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 5 B=1 m=  16 v=1 q=   160 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 5 B=1 m=  15 v=1 q=   160 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 5 B=3 m=  48 v=1 q=   160 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 5 B=3 m=  47 v=1 q=   160 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 7 B=1 m=  16 v=1 q=   224 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 7 B=1 m=  15 v=1 q=   224 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 7 B=3 m=  48 v=1 q=   224 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 7 B=3 m=  47 v=1 q=   224 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 7 B=5 m=  80 v=1 q=   224 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=32 p= 7 B=5 m=  79 v=1 q=   224 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 5 B=1 m=  18 v=1 q=   180 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 5 B=1 m=  17 v=1 q=   180 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 5 B=3 m=  54 v=1 q=   180 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 5 B=3 m=  53 v=1 q=   180 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 7 B=1 m=  18 v=1 q=   252 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 7 B=1 m=  17 v=1 q=   252 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 7 B=3 m=  54 v=1 q=   252 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 7 B=3 m=  53 v=1 q=   252 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 7 B=5 m=  90 v=1 q=   252 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=36 p= 7 B=5 m=  89 v=1 q=   252 | S=B*hat_s True | W=[1, 6] | rank_p M=6 Mhat=6 [S]=6 | d= 6 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 3 B=1 m=  20 v=1 q=   120 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 3 B=1 m=  19 v=1 q=   120 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 3 B=5 m= 100 v=2 q=   360 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 3 B=5 m=  99 v=2 q=   360 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 7 B=1 m=  20 v=1 q=   280 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 7 B=1 m=  19 v=1 q=   280 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 7 B=3 m=  60 v=1 q=   280 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 7 B=3 m=  59 v=1 q=   280 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=40 p= 7 B=5 m= 100 v=1 q=   280 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.1s OK
q'=40 p= 7 B=5 m=  99 v=1 q=   280 | S=B*hat_s True | W=[1, 8] | rank_p M=8 Mhat=8 [S]=8 | d= 8 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=44 p= 3 B=1 m=  22 v=1 q=   132 | S=B*hat_s True | W=[1, 10] | rank_p M=10 Mhat=10 [S]=10 | d=10 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=44 p= 3 B=1 m=  21 v=1 q=   132 | S=B*hat_s True | W=[1, 10] | rank_p M=10 Mhat=10 [S]=10 | d=10 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=44 p= 3 B=5 m= 110 v=2 q=   396 | S=B*hat_s True | W=[1, 10] | rank_p M=10 Mhat=10 [S]=10 | d=10 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=44 p= 3 B=5 m= 109 v=2 q=   396 | S=B*hat_s True | W=[1, 10] | rank_p M=10 Mhat=10 [S]=10 | d=10 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=44 p= 5 B=1 m=  22 v=1 q=   220 | S=B*hat_s True | W=[1, 10] | rank_p M=10 Mhat=10 [S]=10 | d=10 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=44 p= 5 B=1 m=  21 v=1 q=   220 | S=B*hat_s True | W=[1, 10] | rank_p M=10 Mhat=10 [S]=10 | d=10 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'=44 p= 5 B=3 m=  66 v=1 q=   220 | S=B*hat_s True | W=[1, 10] | rank_p M=10 Mhat=10 [S]=10 | d=10 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
