n=13 p=17 N= 1 v=1 q=221 m=6 d=6 t=12 delta=0 p|n-1=False | W=[1, 6, 6] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=13 p=19 N= 1 v=1 q=247 m=6 d=6 t=12 delta=0 p|n-1=False | W=[1, 6, 6] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=13 p=23 N= 1 v=1 q=299 m=6 d=6 t=12 delta=0 p|n-1=False | W=[1, 6, 6] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=13 p=29 N= 1 v=1 q=377 m=6 d=6 t=12 delta=0 p|n-1=False | W=[1, 6, 6] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=13 p=31 N= 1 v=1 q=403 m=6 d=6 t=12 delta=0 p|n-1=False | W=[1, 6, 6] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=17 p= 3 N= 1 v=2 q=153 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=17 p= 5 N= 1 v=1 q=85 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=17 p= 7 N= 1 v=1 q=119 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=17 p=11 N= 1 v=1 q=187 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=17 p=13 N= 1 v=1 q=221 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=17 p=19 N= 1 v=1 q=323 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=17 p=23 N= 1 v=1 q=391 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=17 p=29 N= 1 v=1 q=493 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=17 p=31 N= 1 v=1 q=527 m=8 d=8 t=8 delta=0 p|n-1=False | W=[1, 8, 8] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p= 3 N= 1 v=2 q=171 m=9 d=9 t=18 delta=0 p|n-1=True | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
