=== (A) p not dividing N: is the second layer the square of the first? ===
m     q      p  q'  d   W_1  W_2  dim(V*V) | W_2=d  W_2=dim(V*V)
38    95     5  19  9   9    9    9        | True   True
56    475    5  19  9   9    9    9        | True   True
57    475    5  19  9   9    9    9        | True   True
9     133    7  19  9   9    9    9        | True   True
18    133    7  19  9   9    9    9        | True   True
19    133    7  19  9   9    9    9        | True   True
28    133    7  19  9   9    9    9        | True   True
37    133    7  19  9   9    9    9        | True   True
38    133    7  19  9   9    9    9        | True   True
56    133    7  19  9   9    9    9        | True   True
57    133    7  19  9   9    9    9        | True   True
9     180    3  20  4   4    4    4        | True   True
10    180    3  20  4   4    4    4        | True   True
19    180    3  20  4   4    4    4        | True   True
20    180    3  20  4   4    4    4        | True   True
39    180    3  20  4   4    4    4        | True   True
40    180    3  20  4   4    4    4        | True   True
9     140    7  20  4   4    4    4        | True   True
10    140    7  20  4   4    4    4        | True   True
19    140    7  20  4   4    4    4        | True   True
20    140    7  20  4   4    4    4        | True   True
29    140    7  20  4   4    4    4        | True   True
30    140    7  20  4   4    4    4        | True   True
39    140    7  20  4   4    4    4        | True   True
40    140    7  20  4   4    4    4        | True   True
59    140    7  20  4   4    4    4        | True   True
60    140    7  20  4   4    4    4        | True   True
10    105    5  21  6   5    6    6        | True   True
20    105    5  21  6   6    6    6        | True   True
21    105    5  21  6   6    6    6        | True   True
31    105    5  21  6   5    6    6        | True   True
41    105    5  21  6   6    6    6        | True   True
42    105    5  21  6   6    6    6        | True   True
62    525    5  21  6   6    6    6        | True   True
63    525    5  21  6   6    6    6        | True   True
11    207    3  23  11  10   11   11       | True   True
22    207    3  23  11  10   11   11       | True   True
23    207    3  23  11  10   11   11       | True   True
45    207    3  23  11  10   11   11       | True   True
46    207    3  23  11  10   11   11       | True   True
11    115    5  23  11  10   11   11       | True   True
22    115    5  23  11  11   11   11       | True   True
23    115    5  23  11  11   11   11       | True   True
34    115    5  23  11  10   11   11       | True   True
45    115    5  23  11  11   11   11       | True   True
46    115    5  23  11  11   11   11       | True   True
68    575    5  23  11  11   11   11       | True   True
69    575    5  23  11  11   11   11       | True   True
11    161    7  23  11  10   11   11       | True   True
22    161    7  23  11  11   11   11       | True   True
23    161    7  23  11  11   11   11       | True   True
34    161    7  23  11  10   11   11       | True   True
45    161    7  23  11  11   11   11       | True   True
46    161    7  23  11  11   11   11       | True   True
68    161    7  23  11  11   11   11       | True   True
69    161    7  23  11  11   11   11       | True   True
11    120    5  24  4   4    4    4        | True   True
12    120    5  24  4   4    4    4        | True   True
23    120    5  24  4   4    4    4        | True   True
24    120    5  24  4   4    4    4        | True   True
35    120    5  24  4   4    4    4        | True   True
36    120    5  24  4   4    4    4        | True   True
47    120    5  24  4   4    4    4        | True   True
48    120    5  24  4   4    4    4        | True   True
71    600    5  24  4   4    4    4        | True   True
72    600    5  24  4   4    4    4        | True   True
11    168    7  24  4   4    4    4        | True   True
12    168    7  24  4   4    4    4        | True   True
23    168    7  24  4   4    4    4        | True   True
24    168    7  24  4   4    4    4        | True   True
35    168    7  24  4   4    4    4        | True   True
36    168    7  24  4   4    4    4        | True   True
47    168    7  24  4   4    4    4        | True   True
48    168    7  24  4   4    4    4        | True   True
71    168    7  24  4   4    4    4        | True   True
72    168    7  24  4   4    4    4        | True   True
12    225    3  25  10  10   10   10       | True   True
24    225    3  25  10  10   10   10       | True   True
25    225    3  25  10  10   10   10       | True   True
49    225    3  25  10  10   10   10       | True   True
50    225    3  25  10  10   10   10       | True   True
12    175    7  25  10  10   10   10       | True   True
24    175    7  25  10  10   10   10       | True   True
25    175    7  25  10  10   10   10       | True   True
37    175    7  25  10  10   10   10       | True   True
49    175    7  25  10  10   10   10       | True   True
50    175    7  25  10  10   10   10       | True   True
74    175    7  25  10  10   10   10       | True   True
75    175    7  25  10  10   10   10       | True   True
A TOTAL=238 ; W_2 < d en 0 ; W_2 != dim(V*V) en 0

=== (B) the ladder zone, p odd: the layers above P ===
m     q     p  q'  d   P  E  | W (i < E)          | W_1(A_0) | above P
7     45     3  5   2   3  6  | [1, 0, 1, 2, 1, 2]       | 2    | W_{P+1}=1    <S_2^0>=1   <hat^2>=1   +cte=2    hat^2
10    63     3  7   3   3  6  | [1, 0, 1, 2, 3, 2]       | 2    | W_{P+1}=3    <S_2^0>=3   <hat^2>=3   +cte=4    hat^2
16    99     3  11  5   3  6  | [1, 0, 1, 5, 5, 5]       | 5    | W_{P+1}=5    <S_2^0>=5   <hat^2>=5   +cte=6    hat^2
19    117    3  13  6   3  6  | [1, 0, 1, 6, 5, 6]       | 6    | W_{P+1}=5    <S_2^0>=5   <hat^2>=5   +cte=6    hat^2
25    153    3  17  8   3  6  | [1, 0, 1, 8, 6, 8]       | 8    | W_{P+1}=6    <S_2^0>=5   <hat^2>=5   +cte=6    hat^2+cte
28    171    3  19  9   3  6  | [1, 0, 1, 9, 8, 9]       | 9    | W_{P+1}=8    <S_2^0>=8   <hat^2>=8   +cte=9    hat^2
34    207    3  23  11  3  6  | [1, 0, 1, 10, 11, 10]    | 10   | W_{P+1}=11   <S_2^0>=11  <hat^2>=11  +cte=12   hat^2
37    225    3  25  10  3  6  | [1, 0, 1, 10, 9, 10]     | 10   | W_{P+1}=9    <S_2^0>=9   <hat^2>=9   +cte=10   hat^2
17    175    5  7   3   5  20 | [1, 0, 0, 0, 1, 2, 3, 3] | 2    | W_{P+1}=3    <S_2^0>=3   <hat^2>=3   +cte=4    hat^2
52    175    5  7   3   5  20 | [1, 0, 0, 0, 1, 2, 3, 3] | 2    | W_{P+1}=3    <S_2^0>=3   <hat^2>=3   +cte=4    hat^2
27    275    5  11  5   5  20 | [1, 0, 0, 0, 1, 5, 4, 4] | 5    | W_{P+1}=4    <S_2^0>=4   <hat^2>=4   +cte=5    hat^2
82    275    5  11  5   5  20 | [1, 0, 0, 0, 1, 5, 4, 4] | 5    | W_{P+1}=4    <S_2^0>=4   <hat^2>=4   +cte=5    hat^2
32    325    5  13  6   5  20 | [1, 0, 0, 0, 1, 6, 6, 6] | 6    | W_{P+1}=6    <S_2^0>=6   <hat^2>=6   +cte=7    hat^2
97    325    5  13  6   5  20 | [1, 0, 0, 0, 1, 6, 6, 6] | 6    | W_{P+1}=6    <S_2^0>=6   <hat^2>=6   +cte=7    hat^2
42    425    5  17  8   5  20 | [1, 0, 0, 0, 1, 8, 6, 8] | 8    | W_{P+1}=6    <S_2^0>=6   <hat^2>=6   +cte=7    hat^2
127   425    5  17  8   5  20 | [1, 0, 0, 0, 1, 8, 6, 8] | 8    | W_{P+1}=6    <S_2^0>=6   <hat^2>=6   +cte=7    hat^2
